km,potencia,volante_regulable,aire_acondicionado,camara_trasera,asientos_traseros_plegables,elevalunas_electrico,bluetooth,gps,alerta_lim_velocidad,precio,antiguedad,color_int,serie_int,tipo_coche_convertible,tipo_coche_coupe,tipo_coche_estate,tipo_coche_hatchback,tipo_coche_sedan,tipo_coche_sin tipo,tipo_coche_subcompact,tipo_coche_suv,tipo_coche_van
0.13994899489948995,0.09523809523809523,1,1,0,0,1,0,1,1,11300.0,0.1937668027481828,0.0,0.0,0,0,0,0,0,1,0,0,0
0.18283928392839285,0.1512605042016807,0,0,0,1,1,0,1,0,10200.0,0.19087921935676594,0.0,0.2857142857142857,0,0,0,0,0,1,0,0,0
0.1275717571757176,0.19327731092436973,1,1,0,1,1,1,1,1,25100.0,0.12097978691626012,0.0,0.42857142857142855,1,0,0,0,0,0,0,0,0
0.09663066306630663,0.26330532212885155,1,1,0,0,0,1,1,1,33400.0,0.12406651398984368,1.0,0.42857142857142855,0,0,0,0,0,1,0,0,0
0.1518911891189119,0.4453781512605042,1,1,0,0,1,1,1,1,17100.0,0.22433535796076876,0.0,0.2857142857142857,0,0,0,0,0,1,0,0,0
0.20476347634763478,0.22128851540616246,1,1,0,0,1,1,1,1,12400.0,0.21188887782535104,1.0,0.2857142857142857,1,0,0,0,0,0,0,0,0
0.1150955095509551,0.1092436974789916,1,1,0,0,0,1,1,0,6100.0,0.28786219257194073,0.0,0.0,1,0,0,0,0,0,0,0,0
0.12342234223422344,0.165266106442577,1,0,0,0,0,0,1,0,6200.0,0.45135915563078766,0.0,0.5714285714285714,1,0,0,0,0,0,0,0,0
0.13907890789078908,0.19327731092436973,0,0,0,1,1,0,1,0,17300.0,0.12406651398984368,0.0,0.2857142857142857,1,0,0,0,0,0,0,0,0
0.07664666466646665,0.19327731092436973,1,1,0,1,1,0,1,1,19300.0,0.12406651398984368,1.0,0.2857142857142857,1,0,0,0,0,0,0,0,0
0.22754675467546756,0.22128851540616246,1,1,0,0,1,0,1,1,13300.0,0.21188887782535104,0.0,0.2857142857142857,0,0,0,0,0,1,0,0,0
0.13156215621562156,0.19327731092436973,1,1,0,0,1,1,1,1,21700.0,0.12406651398984368,1.0,0.42857142857142855,0,0,0,0,0,1,0,0,0
0.0765926592659266,0.19327731092436973,1,1,0,1,1,1,1,1,36300.0,0.07248830030867272,0.0,0.42857142857142855,0,0,0,0,0,1,0,0,0
0.1741724172417242,0.1512605042016807,1,1,0,0,0,0,1,0,10500.0,0.3148461615055263,0.0,0.0,1,0,0,0,0,0,0,0,0
0.2084898489848985,0.17927170868347336,1,1,0,1,1,0,1,1,8300.0,0.34222841780344526,1.0,0.0,1,0,0,0,0,0,0,0,0
0.020693069306930694,0.19327731092436973,0,1,1,0,0,0,0,1,21900.0,0.0786617544558399,0.0,0.14285714285714285,1,0,0,0,0,0,0,0,0
0.024047404740474048,0.5714285714285714,1,0,0,0,0,0,1,0,9200.0,0.12406651398984368,1.0,0.8571428571428571,1,0,0,0,0,0,0,0,0
0.20501850185018503,0.22128851540616246,1,1,0,0,1,0,1,1,11000.0,0.3028975405755253,0.0,0.2857142857142857,0,0,0,0,0,1,0,0,0
0.1284768476847685,0.12324929971988796,1,0,0,0,0,0,1,0,7700.0,0.45135915563078766,0.0,0.5714285714285714,0,0,0,0,0,1,0,0,0
0.12574957495749575,0.4453781512605042,0,0,0,1,0,1,1,1,16800.0,0.16927212984168077,0.0,0.0,1,0,0,0,0,0,0,0,0
0.024394439443944396,0.09523809523809523,0,1,0,0,0,0,1,1,31000.0,0.06342726277008863,1.0,0.14285714285714285,1,0,0,0,0,0,0,0,0
0.08993399339933994,0.19327731092436973,1,1,0,1,1,0,1,1,26300.0,0.1088320223040924,1.0,0.42857142857142855,1,0,0,0,0,0,0,0,0
0.04649164916491649,0.2072829131652661,0,1,0,0,0,0,1,1,23300.0,0.06661356168475556,1.0,0.14285714285714285,0,0,0,0,0,1,0,0,0
0.043190319031903186,0.31932773109243695,1,0,0,0,1,0,1,0,20800.0,0.45135915563078766,1.0,0.5714285714285714,1,0,0,0,0,0,0,0,0
0.19563556355635564,0.05322128851540617,1,0,0,0,0,0,0,0,1800.0,0.7998605994224833,0.0,0.2857142857142857,1,0,0,0,0,0,0,0,0
0.11321332133213322,0.3473389355742297,1,1,0,0,1,1,1,1,30100.0,0.12406651398984368,0.0,0.42857142857142855,0,0,0,0,0,1,0,0,0
0.06551855185518553,0.19327731092436973,1,1,0,1,1,1,1,1,28700.0,0.12097978691626012,1.0,0.42857142857142855,1,0,0,0,0,0,0,0,0
0.12334533453345335,0.165266106442577,1,1,0,0,0,1,1,0,6500.0,0.45135915563078766,0.0,0.5714285714285714,1,0,0,0,0,0,0,0,0
0.18079407940794082,0.1512605042016807,1,1,0,1,1,0,1,1,11100.0,0.12406651398984368,0.0,0.2857142857142857,1,0,0,0,0,0,0,0,0
0.19465746574657466,0.1092436974789916,1,1,0,0,0,1,1,0,9900.0,0.13910186199342828,0.0,0.0,0,0,0,0,0,1,0,0,0
0.0822932293229323,0.12324929971988796,1,0,0,0,0,1,1,0,9500.0,0.45135915563078766,1.0,0.5714285714285714,1,0,0,0,0,0,0,0,0
0.02457645764576458,0.09523809523809523,0,1,0,0,0,0,1,1,31000.0,0.06342726277008863,1.0,0.14285714285714285,1,0,0,0,0,0,0,0,0
0.06436243624362437,0.19327731092436973,1,1,0,0,1,0,1,1,27500.0,0.13014039629592755,1.0,0.42857142857142855,0,0,0,0,0,1,0,0,0
